ID_Local,Furo,M(m),P(m),Origem,Log_Sondagem,Ensaio,Hidroquimica,Qual,Quant
217,404/AG2,135030,218340,SNIRH,Y,null,null,null,null
219,377/287,146752,239462,SNIRH,N,null,null,null,null
221,365/428,158510,249470,SNIRH,N,null,null,null,null
223,392/29,152609,223430,SNIRH,N,null,null,null,null
225,404/61,133940,217820,SNIRH,N,null,null,null,null
226,405/11,136800,219520,SNIRH,N,null,null,null,null
227,405/67,137570,218952,SNIRH,N,null,null,null,null
228,404/51,135010,214800,SNIRH,N,null,null,null,null
229,404/53,134950,210460,SNIRH,N,null,null,null,null
230,405/68,137570,208900,SNIRH,N,null,null,null,null
232,377/56,146687,237075,SNIRH,N,null,null,null,null
233,376/24,134003,230287,SNIRH,N,null,null,null,null
236,321/11,194663,286408,SNIRH,N,null,null,null,null
237,321/27,193880,280010,SNIRH,N,null,null,null,null
240,378/57,152550,231100,SNIRH,N,null,null,null,null
242,391/280,141270,223620,SNIRH,Y,null,null,i,null
243,391/477,141297,223636,SNIRH,Y,null,null,a,null
244,391/AG17,141966,223615,SNIRH,Y,null,null,null,null
245,391/AG20,145670,221015,SNIRH,Y,null,null,null,null
247,404/AG1,135381,218322,SNIRH,Y,null,null,null,null
248,404/AG3,135333,218307,SNIRH,Y,null,null,null,null
250,405/AG8,137679,217249,SNIRH,Y,null,null,null,null
800,CGP1,130587.94,228139.3,CGP,Y,N,N,null,null
801,CGP2,165355.09,255665.81,CGP,Y,N,N,null,null
802,CGP3,165396.16,264917.89,CGP,Y,N,N,null,null
803,CGP4,166848.63,268612.51,CGP,Y,N,N,null,null
804,CGP5,166840.74,266762.08,CGP,Y,N,N,null,null
805,CGP6,165404.38,266768.33,CGP,Y,N,N,null,null
807,CGP7,168246.97,259354.4,CGP,Y,N,N,N,N
808,CGP8,159611.02,257543.85,CGP,Y,N,N,null,null
