ID_Local,Furo,M,P,Cl ,SO4,HCO3 ,Na,Ca,Mg ,Mg/Ca,Cl/HCO3,SO4/Cl,CondEletrica,pHAmostra,TempAmostra,Mg/Cl,NaCl,Nitratos,Fe,Mn
243,391/477,141297.00,223636.00,82.86,50.00,163.11,85.65,36.10,16.17,0.45,0.51,0.60,482.43,6.82,17.58,0.20,168.51,26.57,0.13,0.08
244,391/AG17,141966.00,223615.00,72.26,47.24,145.18,80.18,30.75,14.53,0.47,0.50,0.65,456.05,6.72,17.60,0.20,152.44,28.36,0.12,0.08
245,391/AG20,145670.00,221015.00,53.69,29.62,89.95,54.16,23.06,11.40,0.49,0.60,0.55,444.03,7.78,18.28,0.21,107.85,9.18,0.07,0.05
247,404/AG1,135381.00,218322.00,35.46,74.69,314.84,99.58,82.13,22.92,0.28,0.11,2.11,418.86,7.77,17.30,0.65,135.04,6.47,0.08,0.17
248,404/AG3,135333.00,218307.00,34.11,74.44,314.03,100.26,81.87,22.95,0.28,0.11,2.18,410.43,7.78,17.31,0.67,134.37,6.27,0.07,0.17
250,405/AG8,137679.00,217249.00,87.74,71.17,287.98,100.05,74.91,22.33,0.30,0.30,0.81,691.46,7.36,17.66,0.25,187.79,17.66,0.15,0.14
800,CGP1,130587.94,228139.30,335.21,81.49,358.32,198.41,117.38,40.77,0.35,0.94,0.24,607.83,7.36,17.57,0.12,533.62,30.20,0.13,0.12
801,CGP2,165355.09,255665.81,35.38,34.72,150.91,26.99,48.21,9.74,0.20,0.23,0.98,462.34,6.86,17.31,0.28,62.37,20.92,0.82,0.11
802,CGP3,165396.16,264917.89,45.37,32.22,156.18,37.00,61.14,10.93,0.18,0.29,0.71,519.54,7.19,21.83,0.24,82.37,21.99,0.18,0.03
803,CGP4,166848.63,268612.51,112.40,120.38,375.97,43.98,207.92,41.60,0.20,0.30,1.07,1204.62,7.41,18.60,0.37,156.38,85.32,0.31,0.14
804,CGP5,166840.74,266762.08,65.10,83.14,266.78,37.61,139.47,24.65,0.18,0.24,1.28,994.30,7.26,18.53,0.38,102.71,40.14,0.71,0.25
805,CGP6,165404.38,266768.33,52.89,45.57,169.56,43.72,119.80,14.70,0.12,0.31,0.86,872.41,7.40,19.00,0.28,96.60,21.94,0.27,0.09
808,CGP8,159611.02,257543.85,45.33,53.25,172.86,31.45,64.78,13.84,0.21,0.26,1.17,586.54,6.98,17.74,0.31,76.78,41.38,0.74,0.17
